tg_chat_id,title,type,invite_link
1325045928,Dolgolive. Женское активное долголетие,channel,
1468185044,Активное Долголетие в Подмосковье,channel,
1803562165,Moloday | Активное долголетие,channel,
2772366167,Родник силы / Активное долголетие,channel,
3135516567,Анти-эйдж чат,supergroup,
2279888954,Наука и анти эйджинг,channel,
1500038483,«Активное долголетие» г. Иркутска,channel,
1710558317,"""Активное долголетие"" г.о. Королёв",channel,
3507772018,АКТИВНОЕ ДОЛГОЛЕТИЕ,channel,
2421117823,ДОЛГОЛЕТИЕ | КРИСТИНА ЕГИАЗАРОВА,channel,
1735952236,Московское долголетие,channel,
2381061422,RYABICHKO | Молодость. Энергия. Долголетие,channel,
1984860111,Здоровье и долголетие,channel,
